seed,policy,mae,rmse,overshoot
51,Expert,2.412289540425476,3.4219202947562097,21.443155258328005
51,DDPG-1,0.3195391717605831,0.987932624090038,14.67468551744956
51,DDPG-2,0.8844239647844305,1.5082003249264353,15.97498257952452
51,TD3-1,0.3231905660927273,0.9898632029957216,14.677457921893122
51,TD3-2,2.382611649336777,3.385310362368747,21.384632086533585
18,Expert,1.4066736072831751,2.394861861954276,15.361587165492836
18,DDPG-1,0.1790966669430561,0.7916013260346405,14.704402546341186
18,DDPG-2,0.4978673208274152,1.1910158623195055,14.775755083693385
18,TD3-1,0.1808394378097436,0.7907650178543789,14.704062339012424
18,TD3-2,1.385801244815411,2.367353777938754,15.343344177373638
68,Expert,1.9583797682067856,2.9775093920785225,17.13795654049244
68,DDPG-1,0.240307958879625,0.8837931795076167,14.696151423550177
68,DDPG-2,0.6916187483611608,1.3720547995978714,14.731114293783108
68,TD3-1,0.2433164742866984,0.8843011454099322,14.695739785578212
68,TD3-2,1.9315016581580309,2.945135530155196,17.084567144659744
86,Expert,1.8538213877439853,2.824898963989446,17.98034517475311
86,DDPG-1,0.2966312432061173,1.129948143828288,14.761499643537732
86,DDPG-2,0.7405460693095351,1.4950814500019172,15.3959541107145
86,TD3-1,0.3005325604721811,1.1318207445967965,14.7615250446854
86,TD3-2,1.8290571517730896,2.7954261344751403,17.934001733092018
33,Expert,2.0774202266997293,2.9122230958819597,22.505267578422945
33,DDPG-1,0.2567300000636833,0.8764137700358134,14.720183174872858
33,DDPG-2,0.7187358924916595,1.2865093191102197,16.76849215746698
33,TD3-1,0.2595946367845218,0.8773392859909365,14.720384828726624
33,TD3-2,2.0505036279991486,2.879795272249753,22.395215427131262
47,Expert,1.9748661691703089,2.9375395571866143,21.484561095825967
47,DDPG-1,0.2741539437363046,0.9751661446694306,14.820951175114416
47,DDPG-2,0.7009765437193373,1.3689095336647064,15.99589047666521
47,TD3-1,0.2768751230003186,0.9762130247474792,14.820111386121084
47,TD3-2,1.949139266734272,2.904477987000577,21.42661514029888
99,Expert,1.5414110486547132,2.5523820233716257,14.967747209015611
99,DDPG-1,0.2183390324886923,0.8049133814836441,14.725631492823284
99,DDPG-2,0.567346887573428,1.1867193400743925,14.69500637698465
99,TD3-1,0.2216667145694537,0.8067848710478305,14.726555938973137
99,TD3-2,1.5195877579389474,2.524252452065576,14.96118191034661
57,Expert,2.2066165468235743,3.0399220513938805,16.195068664526787
57,DDPG-1,0.2945466677383201,0.9975288551057744,14.81542110559657
57,DDPG-2,0.7538013551901402,1.350893783946299,15.015726531324248
57,TD3-1,0.2982741058021663,0.9993900214367888,14.819205312273697
57,TD3-2,2.175173099306676,3.0028693723171043,16.183426278061262
52,Expert,2.0900107844433893,3.057795474647496,16.744952366838987
52,DDPG-1,0.2971189951153862,1.003419453904315,15.155067248620597
